.K-Outertainment Game System Loging [KGSL]
.Warcraft new generation
.Log in 2:08:10 PM Mon 9/12/2005
Loading file GameData\Images\Icons\UnitButtons\UBCastle.png from database complete
Loading file GameData\Images\Icons\UnitButtons\UBFortress.png from database complete
Loading file GameData\Images\Icons\UnitButtons\UBHumanFarm.png from database complete
Loading file GameData\Images\Icons\UnitButtons\UBOrcFarm.png from database complete
Loading file GameData\Images\Icons\UnitButtons\UBHumanBarrack.png from database complete
Loading file GameData\Images\Icons\UnitButtons\UBOrcBarrack.png from database complete
Loading file GameData\Images\Icons\UnitButtons\UBHumanBlackSmith.png from database complete
Loading file GameData\Images\Icons\UnitButtons\UBOrcBlackSmith.png from database complete
Loading file GameData\Images\Icons\UnitButtons\UBElvenLumberMill.png from database complete
Loading file GameData\Images\Icons\UnitButtons\UBTrollLumberMill.png from database complete
Loading file GameData\Images\Icons\UnitButtons\UBGnomishInventor.png from database complete
Loading file GameData\Images\Icons\UnitButtons\UBGoblinAlchemist.png from database complete
Loading file GameData\Images\Icons\UnitButtons\UBStables.png from database complete
Loading file GameData\Images\Icons\UnitButtons\UBOgreMound.png from database complete
Loading file GameData\Images\Icons\UnitButtons\UBChurch.png from database complete
Loading file GameData\Images\Icons\UnitButtons\UBAltarOfStorm.png from database complete
Loading file GameData\Images\Icons\UnitButtons\UBMageTower.png from database complete
Loading file GameData\Images\Icons\UnitButtons\UBTempleOfTheDamned.png from database complete
Loading file GameData\Images\Icons\UnitButtons\UBGryphonAviary.png from database complete
Loading file GameData\Images\Icons\UnitButtons\UBDragonRoost.png from database complete
Loading file GameData\Images\Icons\UnitButtons\UBHumanScoutTower.png from database complete
Loading file GameData\Images\Icons\UnitButtons\UBOrcWatchTower.png from database complete
Loading file GameData\Images\Icons\UnitButtons\UBHumanGuardTower.png from database complete
Loading file GameData\Images\Icons\UnitButtons\UBOrcGuardTower.png from database complete
Loading file GameData\Images\Icons\UnitButtons\UBHumanCannonTower.png from database complete
Loading file GameData\Images\Icons\UnitButtons\UBOrcCannonTower.png from database complete
Loading file GameData\Images\Icons\CommandButtons\CBMove.Png from database complete
Loading file GameData\Images\Icons\CommandButtons\CBStop.Png from database complete
Loading file GameData\Images\Icons\CommandButtons\CBPatrol.Png from database complete
Loading file GameData\Images\Icons\CommandButtons\CBAttack.Png from database complete
Loading file GameData\Images\Icons\CommandButtons\CBAttackGround.Png from database complete
Loading file GameData\Images\Icons\CommandButtons\CBHarvest.Png from database complete
Loading file GameData\Images\Icons\CommandButtons\CBCancel.Png from database complete
Loading file GameData\Images\Icons\CommandButtons\CBCancel.Png from database complete
Loading file GameData\Images\Icons\CommandButtons\CBBuildHuman.Png from database complete
Loading file GameData\Images\Icons\CommandButtons\CBBuildOrc.Png from database complete
Loading file GameData\Images\Icons\CommandButtons\CBUnLoad.Png from database complete
Loading file GameData\Images\Icons\CommandButtons\CBHoldPosition.Png from database complete
Loading file GameData\Images\Icons\SpellButtons\SBInvisibility.Png from database complete
Loading file GameData\Images\Icons\SpellButtons\SBDecay.Png from database complete
Loading file GameData\Images\Icons\SpellButtons\SBBloodLust.Png from database complete
Loading file GameData\Images\Icons\SpellButtons\SBFireBall.Png from database complete
Loading file GameData\Images\Icons\SpellButtons\SBBlizzard.Png from database complete
Loading file GameData\Images\Icons\SpellButtons\SBLightning.Png from database complete
Loading file GameData\Images\Icons\SpellButtons\SBHaste.Png from database complete
Loading file GameData\Images\Icons\ItemButtons\IBWPeonAxe.Png from database complete
Loading file GameData\Images\Icons\ItemButtons\IBWBlade.Png from database complete
Loading file GameData\Images\Icons\ItemButtons\IBWMagicBlade.Png from database complete
Loading file GameData\Images\Icons\ItemButtons\IBWGunBlade.Png from database complete
Loading file GameData\Images\Icons\ItemButtons\IBWBow.Png from database complete
Loading file GameData\Images\Icons\ItemButtons\IBWLongBow.Png from database complete
Loading file GameData\Images\Icons\ItemButtons\IBWMagicBow.Png from database complete
Loading file GameData\Images\Icons\ItemButtons\IBWBesAxe.Png from database complete
Loading file GameData\Images\Icons\ItemButtons\IBWLongBesAxe.Png from database complete
Loading file GameData\Images\Icons\ItemButtons\IBWMagicBesAxe.Png from database complete
Loading file GameData\Images\Icons\ItemButtons\IBWSpear.Png from database complete
Loading file GameData\Images\Icons\ItemButtons\IBWMagicSpear.Png from database complete
Loading file GameData\Images\Icons\ItemButtons\IBWSuperSpear.Png from database complete
Loading file GameData\Images\Icons\ItemButtons\IBWBattleAxe.Png from database complete
Loading file GameData\Images\Icons\ItemButtons\IBWMagicBattleAxe.Png from database complete
Loading file GameData\Images\Icons\ItemButtons\IBWSuperBattleAxe.Png from database complete
Loading file GameData\Images\Icons\ItemButtons\IBWHeavySpear.Png from database complete
Loading file GameData\Images\Icons\ItemButtons\IBWMagicHeavySpear.Png from database complete
Loading file GameData\Images\Icons\ItemButtons\IBWGlove.Png from database complete
Loading file GameData\Images\Icons\ItemButtons\IBWMagicGlove.Png from database complete
Loading file GameData\Images\Icons\ItemButtons\IBWMagicStaff.Png from database complete
Loading file GameData\Images\Icons\ItemButtons\IBWDeathMagicStaff.Png from database complete
Loading file GameData\Images\Icons\ItemButtons\IBWBallistaBolt.Png from database complete
Loading file GameData\Images\Icons\ItemButtons\IBWCatapulRock.Png from database complete
Loading file GameData\Images\Icons\ItemButtons\IBWHellFire.Png from database complete
Loading file GameData\Images\Icons\ItemButtons\IBWDragonBreath.Png from database complete
Loading file GameData\Images\Icons\ItemButtons\IBWGryphonHammer.Png from database complete
Loading file GameData\Images\Icons\ItemButtons\IBAArmor1.Png from database complete
Loading file GameData\Images\Icons\ItemButtons\IBAArmor2.Png from database complete
Loading file GameData\Images\Icons\ItemButtons\IBAArmor3.Png from database complete
Loading file GameData\Images\Icons\ItemButtons\IBAArmor4.Png from database complete
Loading file GameData\Images\Icons\ItemButtons\IBAArmor5.Png from database complete
Loading file GameData\Images\Icons\ItemButtons\IBAArmor6.Png from database complete
Loading file GameData\Images\Icons\ItemButtons\IBSShield1.Png from database complete
Loading file GameData\Images\Icons\ItemButtons\IBSShield2.Png from database complete
Loading file GameData\Images\Icons\ItemButtons\IBSShield3.Png from database complete
Loading file GameData\Images\Icons\ItemButtons\IBSShield4.Png from database complete
Loading file GameData\Images\Icons\ItemButtons\IBSShield5.Png from database complete
Loading file GameData\Images\Icons\ItemButtons\IBHHelm1.Png from database complete
Loading file GameData\Images\Icons\ItemButtons\IBHHelm2.Png from database complete
Loading file GameData\Images\Icons\ItemButtons\IBBBoot1.Png from database complete
Loading file GameData\Images\Icons\ItemButtons\IBBBoot2.Png from database complete
Loading file GameData\Images\Icons\ItemButtons\IBBBoot3.Png from database complete
Loading file GameData\Images\Icons\ItemButtons\IBDDecoration1.Png from database complete
Loading file GameData\Images\Icons\ItemButtons\IBDDecoration2.Png from database complete
Loading file GameData\Images\Icons\ItemButtons\IBDDecoration3.Png from database complete
Loading file GameData\Images\Icons\ItemButtons\IBDDecoration4.Png from database complete
Loading file GameData\Images\Icons\ItemButtons\IBDDecoration5.Png from database complete
Loading file GameData\Images\Icons\ItemButtons\IBDDecoration6.Png from database complete
Loading file GameData\Images\Icons\ItemButtons\IBDDecoration7.Png from database complete
Loading file GameData\Images\Icons\ItemButtons\IBDDecoration8.Png from database complete
Loading file GameData\Images\Icons\ItemButtons\IBDDecoration9.Png from database complete
Loading file GameData\Images\Icons\ItemButtons\IBBansheeAdept.Png from database complete
Loading file GameData\Images\Icons\ItemButtons\IBBansheeMaster.Png from database complete
Loading file GameData\Images\Icons\ItemButtons\IBBookManual.Png from database complete
Loading file GameData\Images\Icons\ItemButtons\IBBookManual2.Png from database complete
Loading file GameData\Images\Icons\ItemButtons\IBBookManual3.Png from database complete
Loading file GameData\Images\Icons\ItemButtons\IBBookOfSummoning.Png from database complete
Loading file GameData\Images\Icons\ItemButtons\IBBookOfTheDead.Png from database complete
Loading file GameData\Images\Icons\ItemButtons\IBNecromancerAdept.Png from database complete
Loading file GameData\Images\Icons\ItemButtons\IBNecromancerMaster.Png from database complete
Loading file GameData\Images\Icons\ItemButtons\IBOrb.Png from database complete
Loading file GameData\Images\Icons\ItemButtons\IBOrbOfFire.Png from database complete
Loading file GameData\Images\Icons\ItemButtons\IBOrbOfFrost.Png from database complete
Loading file GameData\Images\Icons\ItemButtons\IBOrbOfLightning.Png from database complete
Loading file GameData\Images\Icons\ItemButtons\IBPotionBlue.Png from database complete
Loading file GameData\Images\Icons\ItemButtons\IBPotionBlueBig.Png from database complete
Loading file GameData\Images\Icons\ItemButtons\IBPotionBlueSmall.Png from database complete
Loading file GameData\Images\Icons\ItemButtons\IBPotionGreen.Png from database complete
Loading file GameData\Images\Icons\ItemButtons\IBPotionGreenSmall.Png from database complete
Loading file GameData\Images\Icons\ItemButtons\IBPotionPurple.Png from database complete
Loading file GameData\Images\Icons\ItemButtons\IBPotionRed.Png from database complete
Loading file GameData\Images\Icons\ItemButtons\IBScroll.Png from database complete
Loading file GameData\Images\Icons\ItemButtons\IBScrollOfHealing.Png from database complete
Loading file GameData\Images\Icons\ItemButtons\IBScrollOfProtection.Png from database complete
Loading file GameData\Images\Icons\ItemButtons\IBScrollOfTownPortal.Png from database complete
Loading file GameData\Images\Icons\ItemButtons\IBScrollUber.Png from database complete
Loading file GameData\Images\Icons\ItemButtons\IBSnazzyPotion.Png from database complete
Loading file GameData\Images\Icons\ItemButtons\IBSnazzyScroll.Png from database complete
Loading file GameData\Images\Icons\ItemButtons\IBSnazzyScrollGreen.Png from database complete
Loading file GameData\Images\Icons\ItemButtons\IBSnazzyScrollPurple.Png from database complete
Loading file GameData\Images\Icons\ItemButtons\IBSorceressAdept.Png from database complete
Loading file GameData\Images\Icons\ItemButtons\IBSorceressMaster.Png from database complete
Loading file GameData\Images\Icons\ItemButtons\IBSoulGem.Png from database complete
Loading file GameData\Images\Icons\ItemButtons\IBTome.Png from database complete
Loading file GameData\Images\Icons\ItemButtons\IBTomeBrown.Png from database complete
Loading file GameData\Images\Icons\ItemButtons\IBTomeRed.Png from database complete
Load icons done.
Loading file GameData\Images\Missiles\GreenCross.Png from database complete
Loading file GameData\Images\Missiles\Arrow.Png from database complete
Loading file GameData\Images\Missiles\BesAxe.Png from database complete
Loading file GameData\Images\Missiles\Lightning.Png from database complete
Loading file GameData\Images\Missiles\TouchOfDeath.Png from database complete
Loading file GameData\Images\Missiles\DragBull\DragBull0.Png from database complete
Loading file GameData\Images\Missiles\DragBull\DragBull1.Png from database complete
Loading file GameData\Images\Missiles\DragBull\DragBull2.Png from database complete
Loading file GameData\Images\Missiles\DragBull\DragBull3.Png from database complete
Loading file GameData\Images\Missiles\DragBull\DragBull4.Png from database complete
Loading file GameData\Images\Missiles\DragBull\Explo0.Png from database complete
Loading file GameData\Images\Missiles\DragBull\Explo1.Png from database complete
Loading file GameData\Images\Missiles\DragBull\Explo2.Png from database complete
Loading file GameData\Images\Missiles\DragBull\Explo3.Png from database complete
Loading file GameData\Images\Missiles\DragBull\Explo4.Png from database complete
Loading file GameData\Images\Missiles\DragBull\Explo5.Png from database complete
Loading file GameData\Images\Missiles\DragBull\Explo6.Png from database complete
Loading file GameData\Images\Missiles\DragBull\Explo7.Png from database complete
Loading file GameData\Images\Missiles\DragBull\Explo8.Png from database complete
Loading file GameData\Images\Missiles\DragBull\Explo9.Png from database complete
Loading file GameData\Images\Missiles\DragBull\Explo10.Png from database complete
Loading file GameData\Images\Missiles\DragBull\Explo11.Png from database complete
Loading file GameData\Images\Missiles\DragBull\Explo12.Png from database complete
Loading file GameData\Images\Missiles\DragBull\Explo13.Png from database complete
Loading file GameData\Images\Missiles\FireBall.Png from database complete
Loading file GameData\Images\Missiles\Explosion.Png from database complete
Loading file GameData\Images\Missiles\Blizzard.Png from database complete
Load missile animation done.
Loading file GameData\Images\EffectImages\HeroSign00.png from database complete
Loading file GameData\Images\EffectImages\HeroSign01.png from database complete
Loading file GameData\Images\EffectImages\HeroSign02.png from database complete
Loading file GameData\Images\EffectImages\HeroSign03.png from database complete
Loading file GameData\Images\EffectImages\HeroSign04.png from database complete
Loading file GameData\Images\EffectImages\HeroSign05.png from database complete
Loading file GameData\Images\EffectImages\HeroSign06.png from database complete
Loading file GameData\Images\EffectImages\HeroSign07.png from database complete
Loading file GameData\Images\EffectImages\HeroSign08.png from database complete
Loading file GameData\Images\EffectImages\HeroSign09.png from database complete
Load effected animation done.
Loading file GameData\Images\Units\ItemStore\ItemStore0.Png from database complete
Loading file GameData\Images\Units\ItemStore\ItemStore1.Png from database complete
Loading file GameData\Images\Units\ItemStore\ItemStore2.Png from database complete
Loading file GameData\Images\Units\ItemStore\ItemStore3.Png from database complete
Loading file GameData\Images\Units\ItemStore\ItemStore4.Png from database complete
Loading file GameData\Images\Units\ItemStore\ItemStore5.Png from database complete
Loading file GameData\Images\Units\ItemStore\ItemStore6.Png from database complete
Loading file GameData\Images\Units\ItemStore\ItemStore7.Png from database complete
Loading file GameData\Images\Units\Critter1.png from database complete
Loading file GameData\Images\Units\Critter2.png from database complete
Loading file GameData\Images\Units\Critter3.png from database complete
Loading file GameData\Images\Units\Critter4.png from database complete
Loading file GameData\Images\Units\Peasant.png from database complete
Loading file GameData\Images\Units\Peon.png from database complete
Loading file GameData\Images\Units\PeasantWithGold.png from database complete
Loading file GameData\Images\Units\PeonWithGold.png from database complete
Loading file GameData\Images\Units\Footman.png from database complete
Loading file GameData\Images\Units\Grunt.png from database complete
Loading file GameData\Images\Units\Archer.png from database complete
Loading file GameData\Images\Units\Besenker.png from database complete
Loading file GameData\Images\Units\Knight.png from database complete
Loading file GameData\Images\Units\Ogre.png from database complete
Loading file GameData\Images\Units\Mage.png from database complete
Loading file GameData\Images\Units\DeathKnight.png from database complete
Loading file GameData\Images\Units\Ballista.png from database complete
Loading file GameData\Images\Units\Catapult.png from database complete
Loading file GameData\Images\Units\Dwarven.png from database complete
Loading file GameData\Images\Units\Goblin.png from database complete
Loading file GameData\Images\Units\FlyingMachine.png from database complete
Loading file GameData\Images\Units\Zeppelin.png from database complete
Loading file GameData\Images\Units\Dragon.png from database complete
Loading file GameData\Images\Units\DragonRide.png from database complete
Loading file GameData\Images\Units\DragonMage.png from database complete
Loading file GameData\Images\Units\Xkeleton.png from database complete
Loading file GameData\Images\Units\OgreMagi.png from database complete
Loading file GameData\Images\Units\SuperDaemon.png from database complete
Loading file GameData\Images\Units\DarkDaemon.Png from database complete
Loading file GameData\Images\Units\Commander\H1\Knight000.Png from database complete
Loading file GameData\Images\Units\Commander\H1\Knight001.Png from database complete
Loading file GameData\Images\Units\Commander\H1\Knight002.Png from database complete
Loading file GameData\Images\Units\Commander\H1\Knight003.Png from database complete
Loading file GameData\Images\Units\Commander\H1\Knight004.Png from database complete
Loading file GameData\Images\Units\Commander\H1\Knight005.Png from database complete
Loading file GameData\Images\Units\Commander\H1\Knight006.Png from database complete
Loading file GameData\Images\Units\Commander\H1\Knight007.Png from database complete
Loading file GameData\Images\Units\Commander\H1\Knight008.Png from database complete
Loading file GameData\Images\Units\Commander\H1\Knight009.Png from database complete
Loading file GameData\Images\Units\Commander\H1\Knight010.Png from database complete
Loading file GameData\Images\Units\Commander\H1\Knight011.Png from database complete
Loading file GameData\Images\Units\Commander\H1\Knight012.Png from database complete
Loading file GameData\Images\Units\Commander\H1\Knight013.Png from database complete
Loading file GameData\Images\Units\Commander\H1\Knight014.Png from database complete
Loading file GameData\Images\Units\Commander\H1\Knight015.Png from database complete
Loading file GameData\Images\Units\Commander\H1\Knight016.Png from database complete
Loading file GameData\Images\Units\Commander\H1\Knight017.Png from database complete
Loading file GameData\Images\Units\Commander\H1\Knight018.Png from database complete
Loading file GameData\Images\Units\Commander\H1\Knight019.Png from database complete
Loading file GameData\Images\Units\Commander\H1\Knight020.Png from database complete
Loading file GameData\Images\Units\Commander\H1\Knight021.Png from database complete
Loading file GameData\Images\Units\Commander\H1\Knight022.Png from database complete
Loading file GameData\Images\Units\Commander\H1\Knight023.Png from database complete
Loading file GameData\Images\Units\Commander\H1\Knight024.Png from database complete
Loading file GameData\Images\Units\Commander\H2\Knight000.Png from database complete
Loading file GameData\Images\Units\Commander\H2\Knight001.Png from database complete
Loading file GameData\Images\Units\Commander\H2\Knight002.Png from database complete
Loading file GameData\Images\Units\Commander\H2\Knight003.Png from database complete
Loading file GameData\Images\Units\Commander\H2\Knight004.Png from database complete
Loading file GameData\Images\Units\Commander\H2\Knight005.Png from database complete
Loading file GameData\Images\Units\Commander\H2\Knight006.Png from database complete
Loading file GameData\Images\Units\Commander\H2\Knight007.Png from database complete
Loading file GameData\Images\Units\Commander\H2\Knight008.Png from database complete
Loading file GameData\Images\Units\Commander\H2\Knight009.Png from database complete
Loading file GameData\Images\Units\Commander\H2\Knight010.Png from database complete
Loading file GameData\Images\Units\Commander\H2\Knight011.Png from database complete
Loading file GameData\Images\Units\Commander\H2\Knight012.Png from database complete
Loading file GameData\Images\Units\Commander\H2\Knight013.Png from database complete
Loading file GameData\Images\Units\Commander\H2\Knight014.Png from database complete
Loading file GameData\Images\Units\Commander\H2\Knight015.Png from database complete
Loading file GameData\Images\Units\Commander\H2\Knight016.Png from database complete
Loading file GameData\Images\Units\Commander\H2\Knight017.Png from database complete
Loading file GameData\Images\Units\Commander\H2\Knight018.Png from database complete
Loading file GameData\Images\Units\Commander\H2\Knight019.Png from database complete
Loading file GameData\Images\Units\Commander\H2\Knight020.Png from database complete
Loading file GameData\Images\Units\Commander\H2\Knight021.Png from database complete
Loading file GameData\Images\Units\Commander\H2\Knight022.Png from database complete
Loading file GameData\Images\Units\Commander\H2\Knight023.Png from database complete
Loading file GameData\Images\Units\Commander\H2\Knight024.Png from database complete
Loading file GameData\Images\Units\Commander\H3\Knight000.Png from database complete
Loading file GameData\Images\Units\Commander\H3\Knight001.Png from database complete
Loading file GameData\Images\Units\Commander\H3\Knight002.Png from database complete
Loading file GameData\Images\Units\Commander\H3\Knight003.Png from database complete
Loading file GameData\Images\Units\Commander\H3\Knight004.Png from database complete
Loading file GameData\Images\Units\Commander\H3\Knight005.Png from database complete
Loading file GameData\Images\Units\Commander\H3\Knight006.Png from database complete
Loading file GameData\Images\Units\Commander\H3\Knight007.Png from database complete
Loading file GameData\Images\Units\Commander\H3\Knight008.Png from database complete
Loading file GameData\Images\Units\Commander\H3\Knight009.Png from database complete
Loading file GameData\Images\Units\Commander\H3\Knight010.Png from database complete
Loading file GameData\Images\Units\Commander\H3\Knight011.Png from database complete
Loading file GameData\Images\Units\Commander\H3\Knight012.Png from database complete
Loading file GameData\Images\Units\Commander\H3\Knight013.Png from database complete
Loading file GameData\Images\Units\Commander\H3\Knight014.Png from database complete
Loading file GameData\Images\Units\Commander\H3\Knight015.Png from database complete
Loading file GameData\Images\Units\Commander\H3\Knight016.Png from database complete
Loading file GameData\Images\Units\Commander\H3\Knight017.Png from database complete
Loading file GameData\Images\Units\Commander\H3\Knight018.Png from database complete
Loading file GameData\Images\Units\Commander\H3\Knight019.Png from database complete
Loading file GameData\Images\Units\Commander\H3\Knight020.Png from database complete
Loading file GameData\Images\Units\Commander\H3\Knight021.Png from database complete
Loading file GameData\Images\Units\Commander\H3\Knight022.Png from database complete
Loading file GameData\Images\Units\Commander\H3\Knight023.Png from database complete
Loading file GameData\Images\Units\Commander\H3\Knight024.Png from database complete
Loading file GameData\Images\Units\Commander\H4\Knight000.Png from database complete
Loading file GameData\Images\Units\Commander\H4\Knight001.Png from database complete
Loading file GameData\Images\Units\Commander\H4\Knight002.Png from database complete
Loading file GameData\Images\Units\Commander\H4\Knight003.Png from database complete
Loading file GameData\Images\Units\Commander\H4\Knight004.Png from database complete
Loading file GameData\Images\Units\Commander\H4\Knight005.Png from database complete
Loading file GameData\Images\Units\Commander\H4\Knight006.Png from database complete
Loading file GameData\Images\Units\Commander\H4\Knight007.Png from database complete
Loading file GameData\Images\Units\Commander\H4\Knight008.Png from database complete
Loading file GameData\Images\Units\Commander\H4\Knight009.Png from database complete
Loading file GameData\Images\Units\Commander\H4\Knight010.Png from database complete
Loading file GameData\Images\Units\Commander\H4\Knight011.Png from database complete
Loading file GameData\Images\Units\Commander\H4\Knight012.Png from database complete
Loading file GameData\Images\Units\Commander\H4\Knight013.Png from database complete
Loading file GameData\Images\Units\Commander\H4\Knight014.Png from database complete
Loading file GameData\Images\Units\Commander\H4\Knight015.Png from database complete
Loading file GameData\Images\Units\Commander\H4\Knight016.Png from database complete
Loading file GameData\Images\Units\Commander\H4\Knight017.Png from database complete
Loading file GameData\Images\Units\Commander\H4\Knight018.Png from database complete
Loading file GameData\Images\Units\Commander\H4\Knight019.Png from database complete
Loading file GameData\Images\Units\Commander\H4\Knight020.Png from database complete
Loading file GameData\Images\Units\Commander\H4\Knight021.Png from database complete
Loading file GameData\Images\Units\Commander\H4\Knight022.Png from database complete
Loading file GameData\Images\Units\Commander\H4\Knight023.Png from database complete
Loading file GameData\Images\Units\Commander\H4\Knight024.Png from database complete
Loading file GameData\Images\Units\Commander\H5\Knight000.Png from database complete
Loading file GameData\Images\Units\Commander\H5\Knight001.Png from database complete
Loading file GameData\Images\Units\Commander\H5\Knight002.Png from database complete
Loading file GameData\Images\Units\Commander\H5\Knight003.Png from database complete
Loading file GameData\Images\Units\Commander\H5\Knight004.Png from database complete
Loading file GameData\Images\Units\Commander\H5\Knight005.Png from database complete
Loading file GameData\Images\Units\Commander\H5\Knight006.Png from database complete
Loading file GameData\Images\Units\Commander\H5\Knight007.Png from database complete
Loading file GameData\Images\Units\Commander\H5\Knight008.Png from database complete
Loading file GameData\Images\Units\Commander\H5\Knight009.Png from database complete
Loading file GameData\Images\Units\Commander\H5\Knight010.Png from database complete
Loading file GameData\Images\Units\Commander\H5\Knight011.Png from database complete
Loading file GameData\Images\Units\Commander\H5\Knight012.Png from database complete
Loading file GameData\Images\Units\Commander\H5\Knight013.Png from database complete
Loading file GameData\Images\Units\Commander\H5\Knight014.Png from database complete
Loading file GameData\Images\Units\Commander\H5\Knight015.Png from database complete
Loading file GameData\Images\Units\Commander\H5\Knight016.Png from database complete
Loading file GameData\Images\Units\Commander\H5\Knight017.Png from database complete
Loading file GameData\Images\Units\Commander\H5\Knight018.Png from database complete
Loading file GameData\Images\Units\Commander\H5\Knight019.Png from database complete
Loading file GameData\Images\Units\Commander\H5\Knight020.Png from database complete
Loading file GameData\Images\Units\Commander\H5\Knight021.Png from database complete
Loading file GameData\Images\Units\Commander\H5\Knight022.Png from database complete
Loading file GameData\Images\Units\Commander\H5\Knight023.Png from database complete
Loading file GameData\Images\Units\Commander\H5\Knight024.Png from database complete
Loading file GameData\Images\Units\Commander\Die\Knight000.Png from database complete
Loading file GameData\Images\Units\Commander\Die\Knight001.Png from database complete
Loading file GameData\Images\Units\Commander\Die\Knight002.Png from database complete
Loading file GameData\Images\Units\Commander\Die\Knight003.Png from database complete
Loading file GameData\Images\Units\Commander\Die\Knight004.Png from database complete
Loading file GameData\Images\Units\Commander\Die\Knight005.Png from database complete
Loading file GameData\Images\Units\Commander\Die\Knight006.Png from database complete
Loading file GameData\Images\Units\Commander\Die\Knight007.Png from database complete
Loading file GameData\Images\Units\Commander\Die\Knight008.Png from database complete
Loading file GameData\Images\Units\Commander\Die\Knight009.Png from database complete
Loading file GameData\Images\Units\Commander\Die\Knight010.Png from database complete
Loading file GameData\Images\Units\Commander\Die\Knight011.Png from database complete
Loading file GameData\Images\Units\Commander\Die\Knight012.Png from database complete
Loading file GameData\Images\Units\Commander\Die\Knight013.Png from database complete
Loading file GameData\Images\Units\Commander\Die\Knight014.Png from database complete
Loading file GameData\Images\Units\Commander\Die\Knight015.Png from database complete
Loading file GameData\Images\Units\Commander\Die\Knight016.Png from database complete
Loading file GameData\Images\Units\Commander\Die\Knight017.Png from database complete
Loading file GameData\Images\Units\Commander\Die\Knight018.Png from database complete
Loading file GameData\Images\Units\Commander\Die\Knight019.Png from database complete
Loading file GameData\Images\Units\Commander\Die\Knight020.Png from database complete
Loading file GameData\Images\Units\Commander\Die\Knight021.Png from database complete
Loading file GameData\Images\Units\Commander\Die\Knight022.Png from database complete
Loading file GameData\Images\Units\Commander\Die\Knight023.Png from database complete
Loading file GameData\Images\Units\Commander\Die\Knight024.Png from database complete
Loading file GameData\Images\Units\Commander\Die\Knight025.Png from database complete
Loading file GameData\Images\Units\Commander\Die\Knight026.Png from database complete
Loading file GameData\Images\Units\Commander\Die\Knight027.Png from database complete
Loading file GameData\Images\Units\Commander\Die\Knight028.Png from database complete
Loading file GameData\Images\Units\Commander\Die\Knight029.Png from database complete
Loading file GameData\Images\Units\Commander\Die\Knight030.Png from database complete
Loading file GameData\Images\Units\Commander\Die\Knight031.Png from database complete
Loading file GameData\Images\Units\Commander\Die\Knight032.Png from database complete
Loading file GameData\Images\Units\Commander\Die\Knight033.Png from database complete
Loading file GameData\Images\Units\Commander\Die\Knight034.Png from database complete
Loading file GameData\Images\Units\Commander\Die\Knight035.Png from database complete
Loading file GameData\Images\Units\Commander\Die\Knight036.Png from database complete
Loading file GameData\Images\Units\Commander\Die\Knight037.Png from database complete
Loading file GameData\Images\Units\Commander\Die\Knight038.Png from database complete
Loading file GameData\Images\Units\Commander\Die\Knight039.Png from database complete
Loading file GameData\Images\Units\Commander\Die\Knight040.Png from database complete
Loading file GameData\Images\Units\GundamBattleShip1.png from database complete
Loading file GameData\Images\Units\GundamBattleShip2.png from database complete
